Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
4890200,430109,432144,1,8/9/2017,0630,A653,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,49
4890510,433050,436539,2,8/9/2017,1110,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,26
4890510,433050,436539,2,8/9/2017,1110,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Driver or rider,Slight,Male,45
4890510,433050,436539,2,8/9/2017,1110,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Vehicle or pillion passenger,Slight,Male,45
4890650,432057,435966,2,8/9/2017,1230,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,41
4890755,428345,431276,1,8/9/2017,1336,A643,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,74
4890853,420169,445565,2,8/9/2017,1415,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,21
4891080,433898,436532,2,8/9/2017,1605,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,9
4891183,422687,437852,2,8/9/2017,1646,A65,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,36
4891284,428789,432861,2,8/9/2017,1734,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,26
4891284,428789,432861,2,8/9/2017,1734,A58,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,38
4891363,425743,426849,2,8/9/2017,1820,A650,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,24
4891363,425743,426849,2,8/9/2017,1820,A650,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,26
4891363,425743,426849,2,8/9/2017,1820,A650,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,36
4891459,432513,427318,2,8/9/2017,1912,A61,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,47
4891888,420853,437015,2,8/9/2017,1733,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,51
48A0345,437673,444884,2,8/10/2017,0750,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,47
48A0401,429391,434940,2,8/10/2017,0830,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,30
48A0435,426262,428407,2,8/10/2017,0900,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,21
48A0864,441768,434615,2,8/10/2017,1310,M1,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underPedal cycle,Driver or rider,Serious,Male,61
48A1065,432350,433709,2,8/10/2017,1445,A64,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,52
48A1307,421293,434064,2,8/10/2017,1625,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,30
48A1307,421293,434064,2,8/10/2017,1625,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,34
48A1621,435890,437441,2,8/10/2017,1846,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,31
48B0246,437549,433226,1,8/11/2017,0539,A6120,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,24
48B0309,428439,431638,4,8/11/2017,0726,M621,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycleCar,Driver or rider,Slight,Male,47
48B0309,428439,431638,4,8/11/2017,0726,M621,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,38
48B0442,437529,433231,2,8/11/2017,0955,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,39
48B0483,428860,433348,3,8/11/2017,1015,A58(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,31
48B0506,424849,434636,2,8/11/2017,1030,A657,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,56
48B0524,436188,434844,2,8/11/2017,1040,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,83
48B0524,436188,434844,2,8/11/2017,1040,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,75
48B0881,422241,433354,2,8/11/2017,1250,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,86
48B1085,428978,429875,3,8/11/2017,1530,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Female,41
48B1554,430020,435531,3,8/11/2017,1855,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Driver or rider,Slight,Female,35
48B1554,430020,435531,3,8/11/2017,1855,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Driver or rider,Slight,Male,36
48B1554,430020,435531,3,8/11/2017,1855,U,Wet/Damp,Darkness: Street lighting unknown,Raining without high winds,Car,Driver or rider,Slight,Female,57
48C0953,430558,431423,3,8/12/2017,1420,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,23
48C1219,427550,436910,1,8/12/2017,1523,A660,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,3
48C1280,429273,438616,2,9/12/2017,1718,A6120,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,31
48D1135,445089,435123,3,8/13/2017,1500,A659,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,60
48D1140,439312,432386,2,8/13/2017,1515,A642,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,57
48D1262,422097,441758,2,8/13/2017,1623,A658,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Slight,Male,50
48D1593,427279,433073,2,8/13/2017,2340,B6154,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,27
48D1715,431285,433436,2,8/13/2017,2000,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Serious,Male,28
48E1344,430949,433978,3,8/14/2017,1700,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Male,30
48E1417,433183,434013,2,8/14/2017,1720,A64,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,21
48E1897,429908,426419,2,8/14/2017,2145,M62,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,20
48E1897,429908,426419,2,8/14/2017,2145,M62,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underPedal cycle,Vehicle or pillion passenger,Slight,Male,49
48F0736,427987,436066,1,8/15/2017,1210,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Pedestrian,Slight,Male,46
48F1173,417963,442819,2,8/15/2017,1600,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Serious,Female,51
48F1324,430955,435788,2,8/15/2017,1700,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,38
48G0386,429795,433736,2,8/16/2017,0800,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,50
48G1089,418309,441352,2,8/16/2017,1505,A6038,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,18
48G1397,432304,435380,1,8/16/2017,1724,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Pedestrian,Slight,Male,7
48G1449,427418,434619,3,8/16/2017,1715,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Serious,Male,23
48G1570,423189,434664,2,8/16/2017,1835,B6157,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,8
48G1582,425132,433877,2,8/16/2017,1840,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,39
48H0725,430300,425103,2,8/17/2017,1220,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,24
48H1067,428958,429816,2,8/17/2017,1330,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,38
48H1067,428958,429816,2,8/17/2017,1330,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,6
48H1596,426513,433224,2,8/17/2017,1900,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Serious,Male,55
48I0575,428452,429063,2,8/18/2017,1032,A653,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,35
48I0614,428450,429062,2,8/18/2017,1058,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,47
48I1035,434255,437023,2,8/18/2017,1446,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,34
48I1193,428912,433683,2,8/18/2017,1600,U,Dry,Daylight: Street lights present,Other,Motorcycle over 500cc,Driver or rider,Slight,Male,44
48J0557,432417,426200,2,8/19/2017,1040,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,83
48J0643,443630,436582,2,8/19/2017,1136,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Slight,Male,57
48J0883,432031,432727,2,8/19/2017,1358,U,Dry,Daylight: Street lights present,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,12
48J1953,420463,434022,2,8/19/2017,2300,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,22
48K0769,422565,427881,1,8/20/2017,1134,A650,Dry,Daylight: Street lights present,Fine with high winds,Car,Driver or rider,Slight,Male,68
48K0978,430735,435884,1,8/20/2017,1345,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,36
48K0978,430735,435884,1,8/20/2017,1345,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,13
48K0978,430735,435884,1,8/20/2017,1345,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,12
48K0978,430735,435884,1,8/20/2017,1345,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,12
48K1052,431435,431610,2,8/20/2017,1428,A639,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,30
48K1052,431435,431610,2,8/20/2017,1428,A639,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,40
48K1425,430756,433176,2,8/20/2017,1745,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,25
48L1054,428932,426429,3,8/21/2017,1520,M62,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underPedal cycle,Driver or rider,Slight,Male,43
48L1463,429847,430695,2,8/21/2017,1900,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,37
48L2007,429375,433759,1,8/21/2017,2304,A58(M),Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Serious,Female,19
48M0491,423904,427895,1,8/22/2017,1700,A62,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Female,18
48M0541,439977,442840,1,8/26/2017,1615,U,Dry,Daylight: Street lights present,Fine without high winds,Car0,Pedestrian,Slight,Male,30
48M0830,437561,432780,2,8/22/2017,1245,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,71
48M1520,428776,430891,3,8/22/2017,1750,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,5
48N0407,433163,433876,2,8/23/2017,0905,U,Wet/Damp,Daylight: Street lights present,Raining with high winds,Car,Driver or rider,Slight,Male,59
48N0560,429728,438846,1,8/23/2017,0936,A6120,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,79
48N1304,430527,434060,1,8/23/2017,1515,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Male,30
48N1391,431455,435824,1,8/23/2017,1722,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Serious,Male,32
48N1412,422663,434941,3,8/22/2017,1707,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,45
48N1666,429929,433406,1,8/23/2017,1700,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Pedestrian,Serious,Male,31
48N1865,429263,431317,2,8/23/2017,2030,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Serious,Male,23
48O0470,429544,439284,2,8/24/2017,0900,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,57
48O1187,442642,442325,4,8/24/2017,1609,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,23
48O1371,435897,436369,2,8/24/2017,1729,A64,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,26
48O1573,440761,445696,2,8/24/2017,1853,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,77
48P0569,429961,436597,2,8/25/2017,1000,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,39
48P0675,431755,434600,2,8/25/2017,0930,U,Dry,Daylight: Street lights present,Fine without high winds,Car7,Driver or rider,Slight,Male,40
48Q0430,425968,436677,2,8/26/2017,0645,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,40
48Q1001,426204,427585,2,8/26/2017,1346,B6128,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,45
48Q1021,430710,439130,1,8/26/2017,1402,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,93
48Q1082,442379,442639,3,8/26/2017,1437,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,27
48Q1082,442379,442639,3,8/26/2017,1437,A1(M),Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,6
48Q1317,428964,439261,2,8/26/2017,1639,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,11
48Q2087,440459,448333,1,8/26/2017,2257,B6164,Dry,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Pedestrian,Slight,Male,21
48R0476,426430,430145,2,8/27/2017,0615,A62,Dry,Darkness: Street lighting unknown,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,46
48R2011,431067,435583,1,8/27/2017,2145,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,62
48S0500,435545,438371,2,8/28/2017,0801,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,48
48S1283,426820,430012,2,8/28/2017,1556,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,16
48S1283,426820,430012,2,8/28/2017,1556,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,35
48S1283,426820,430012,2,8/28/2017,1556,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,13
48S1606,430158,434397,2,8/28/2017,1835,A58(M),Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,37
48S1606,430158,434397,2,8/28/2017,1835,A58(M),Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,64
